KEM,White Noise,Protocol Setup,Long term key,Static key,One time key,Initiate,Responder,Hole protocol
Kyber512 + Dilithium2,1522,3610,181632,291846,58215,268716,99507,1074396
Kyber512 + Falcon-512,1574,4591,15864115,836296,68261,317073,118696,33205843
Kyber512-90s + Dilithium2,1716,5655,249844,410004,80541,384790,126556,1500586
Kyber512-90s + Falcon-512,1712,5806,16513335,888730,68078,307397,95064,34650891
