KEM,White Noise,Protocol Setup,Long term key,Static key,One time key,Initiate,Responder,Hole protocol
Kyber512 + Dilithium2,1730,4755,629844,177268,168910,77838,29949,780995
Kyber512 + Falcon-512,1855,6749,4221284,154219,37623,78587,52528,6229589
Kyber512-90s + Dilithium2,2159,12444,169245,243032,63075,210339,90193,667787
Kyber512-90s + Falcon-512,2047,11464,4227687,171552,34065,62187,29252,6910293
