KEM,White Noise,Protocol Setup,Long term key,Static key,One time key,Initiate,Responder,Hole protocol
Kyber512 + Dilithium2,1531,3757,188443,309440,55326,280136,105981,1118353
Kyber512 + Falcon-512,1576,4441,15580500,836251,56901,321343,114206,32376958
Kyber512-90s + Dilithium2,1539,4294,177225,312164,54539,271568,90875,1094131
Kyber512-90s + Falcon-512,1549,4754,15611493,830151,54016,305995,93832,32624258
