KEM,White Noise,Protocol Setup,Long term key,Static key,One time key,Initiate,Responder,Hole protocol
Kyber512 + Dilithium2,1657,4842,834535,270262,28321,123883,93793,1010694
Kyber512 + Falcon-512,1936,5025,4264060,181077,22296,85985,38889,6012759
Kyber512-90s + Dilithium2,1497,7385,205514,378674,78963,200116,72838,566538
Kyber512-90s + Falcon-512,1924,7527,3889594,405968,29387,113238,47180,6094194
