KEM,White Noise,Protocol Setup,Long term key,Static key,One time key,Initiate,Responder,Hole protocol
Kyber512,1517,145661,59521419,60375896,118140,8415193,3216145,192845232
Kyber512-90s,1519,133999,58815998,59669288,118434,8099929,3060809,188857785
