KEM,White Noise,Protocol Setup,Long term key,One time key,Initiate,Responder,Hole protocol
Kyber512,1515,133544,56795915,57838294,10299096,5320334,188709123
Kyber512-90s,1503,125564,56156592,57587568,9954969,5161680,186006668
