KEM,White Noise,Protocol Setup,Long term key,One time key,Initiate,Responder,Hole protocol
Kyber512 + Dilithium2,1420,3757936,267960,9720908,569164,433586,22977824
Kyber512 + Falcon-512,1425,1885917,15039998,6842794,594752,299608,44369450
Kyber512-90s + Dilithium2,1433,1260420,434984,6811754,551900,290534,16138494
Kyber512-90s + Falcon-512,1428,949606,35347584,7397954,570462,315638,63291162
