KEM,White Noise,Protocol Setup,Long term key,One time key,Initiate,Responder,Hole protocol
Kyber512 + Dilithium2,6272,62892,32,32,69228,0,0
Kyber512 + Falcon-512,4610,61129,32,32,65803,0,0
Kyber512-90s + Dilithium2,6272,62892,32,32,69228,0,0
Kyber512-90s + Falcon-512,4610,61128,32,32,65802,0,0
