KEM,White Noise,Protocol Setup,Long term key,One time key,Initiate,Responder,Hole protocol
Kyber512 + Dilithium2,2525,462740,130471,2303290,478179,275349,5359519
Kyber512 + Falcon-512,2122,386754,6545892,1900693,312997,173403,13479080
Kyber512-90s + Dilithium2,2331,328141,69154,1010229,194961,117139,2245564
Kyber512-90s + Falcon-512,2065,289992,4806499,959726,185649,116077,8322070
