KEM,White Noise,Protocol Setup,Long term key,One time key,Initiate,Responder,Hole protocol
Kyber512 + Dilithium2,1547,27823,146699,6563853,1064248,713527,15210033
Kyber512 + Falcon-512,1543,26514,16351879,7132818,1135297,737183,48764166
Kyber512-90s + Dilithium2,1557,24884,151851,6605019,1054424,708596,15329711
Kyber512-90s + Falcon-512,1560,24066,15917265,6954594,1045812,641220,47193067
