KEM,White Noise,Protocol Setup,Long term key,One time key,Initiate,Responder,Hole protocol
Kyber512 + Dilithium2,790,575994,67592,922756,273377,289668,2359324
Kyber512 + Falcon-512,640,452307,4284793,1154370,363180,377075,7641512
Kyber512-90s + Dilithium2,715,366589,77447,850216,285094,219953,2183122
Kyber512-90s + Falcon-512,887,331826,3901366,827060,346564,103082,6728227
