KEM,White Noise,Protocol Setup,Long term key,Static key,One time key,Initiate,Responder,Hole protocol
Kyber512,1424,4297752,69566485,58658412,124980,16564768,3110024,210167267
Kyber512-90s,1452,2232409,58480876,95953610,116620,8765624,3144948,257570354
