KEM,White Noise,Protocol Setup,Long term key,Static key,One time key,Initiate,Responder,Hole protocol
Kyber512,2014,6077939,98381867,82955522,176748,23426120,4398238,297221399
Kyber512-90s,1425,5591744,82704448,135698897,164926,12396464,4447628,364259488
